,0
33,"[-0.038270789761727736, -0.009958787681311376, 0.02592417607298035], [0.9998083558538945 + 0.0019343770935480792*i + 0.0008318031363822335*j + -0.019463243653990138*k]"
34,"[-0.03829779133134344, -0.0100191771761189, 0.026250577275862007], [0.9997970485331751 + 0.001981093308316322*i + 0.0007444559250979451*j + -0.020034540150234564*k]"
35,"[-0.03824396526640828, -0.01003491355205809, 0.026579270674347566], [0.99978483559299 + 0.0019837705160601743*i + 0.0006494118413088631*j + -0.02063796106930048*k]"
36,"[-0.03819013920147312, -0.010050649927997278, 0.026907964072833128], [0.9997722494266205 + 0.0019864469832495853*i + 0.0005543675150901153*j + -0.021241374284081238*k]"
37,"[-0.03840692569049514, -0.0104090142367866, 0.027211963282641024], [0.9997607539853772 + 0.0020014530942052363*i + 0.0003075696851912217*j + -0.0217792189251688*k]"
38,"[-0.03862371217951717, -0.010767378545575922, 0.02751596249244892], [0.9997489080846449 + 0.0020164585035648054*i + 6.077174747581876e-05*j + -0.022317055931695893*k]"
39,"[-0.03845070990404269, -0.010548559852125904, 0.027832308283947553], [0.9997345139565423 + 0.0020280587970302956*i + 7.260958873740958e-05*j + -0.0229517604867134*k]"
40,"[-0.038277707628568206, -0.010329741158675887, 0.02814865407544619], [0.9997197166037544 + 0.002039658272515253*i + 8.444740071324686e-05*j + -0.023586455784556853*k]"
41,"[-0.03845108051664758, -0.010536038347786885, 0.028434712940270807], [0.9997062451502671 + 0.002110535143444321*i + -4.8930225077450066e-05*j + -0.02414470241679703*k]"
42,"[-0.03862445340472695, -0.010742335536897884, 0.028720771805095427], [0.9996924391611756 + 0.0021814113081167737*i + -0.00018230783449443475*j + -0.02470294096940117*k]"
43,"[-0.03859518639188032, -0.010788105695636187, 0.0290118188378147], [0.9996778812380515 + 0.0021194424337544*i + -0.00037379775299117623*j + -0.02528837682434732*k]"
44,"[-0.03856591937903369, -0.010833875854374491, 0.02930286587053398], [0.999662939982842 + 0.0020574727466799486*i + -0.0005652875281530747*j + -0.02587380298232367*k]"
45,"[-0.038636011104443604, -0.010992056995586568, 0.029625543867760316], [0.9996476766965325 + 0.002180256479687308*i + -0.0006091214349512927*j + -0.026446132571422098*k]"
46,"[-0.038706102829853525, -0.011150238136798643, 0.029948221864986652], [0.9996320687403181 + 0.0023030394609610213*i + -0.0006529551317296887*j + -0.027018453042121898*k]"
47,"[-0.038485465573510666, -0.01098909361340581, 0.030206679229741955], [0.9996150928417021 + 0.0022028769481249834*i + -0.0007632781088336698*j + -0.027644726490874516*k]"
48,"[-0.03826482831716781, -0.01082794909001298, 0.03046513659449726], [0.9995977023924092 + 0.002102713521733181*i + -0.000873600769398356*j + -0.028270988475074258*k]"
49,"[-0.03832572735201055, -0.010915760035768725, 0.030733899196172806], [0.9995812523493515 + 0.002126802468752303*i + -0.0010179649793382135*j + -0.028840256764839204*k]"
50,"[-0.038386626386853286, -0.011003570981524468, 0.03100266179784835], [0.9995644566927872 + 0.0021508906804118366*i + -0.0011623288373082386*j + -0.02940951508284623*k]"
51,"[-0.03841792060541474, -0.011100797799670152, 0.0312963175938278], [0.9995474321675437 + 0.0021225405560933654*i + -0.001324127691180925*j + -0.029977864412173975*k]"
52,"[-0.03844921482397619, -0.011198024617815838, 0.03158997338980725], [0.9995300575074386 + 0.0020941896882629603*i + -0.0014859260812204293*j + -0.030546203240453876*k]"
53,"[-0.03845565675352938, -0.011275957543006756, 0.031862233834404195], [0.9995123032207676 + 0.0020880094572640474*i + -0.0016279079605928887*j + -0.03111504206159026*k]"
54,"[-0.038462098683082584, -0.011353890468197674, 0.03213449427900114], [0.9994942050120397 + 0.0020818285078022347*i + -0.0017698892798187122*j + -0.03168387017635592*k]"
55,"[-0.03847210050802047, -0.011422974026554782, 0.03238519303523585], [0.9994758700293765 + 0.0021238991250574304*i + -0.0018813024173642734*j + -0.03224802292764295*k]"
56,"[-0.03848210233295835, -0.011492057584911891, 0.03263589179147055], [0.9994572024338149 + 0.0021659690355059235*i + -0.0019927149288362406*j + -0.03281216494719679*k]"
57,"[-0.03850430846221481, -0.011570041146450822, 0.03291417288123104], [0.9994380661570017 + 0.00217395785284328*i + -0.002126950174234368*j + -0.03338116095289614*k]"
58,"[-0.03852651459147126, -0.011648024707989752, 0.033192453970991534], [0.9994185878669115 + 0.002181945926240142*i + -0.0022611846917782908*j + -0.03395014553537614*k]"
59,"[-0.038613703976624086, -0.011800605111746673, 0.03347081987714809], [0.9993981665823486 + 0.0020898635252756116*i + -0.002546747143161947*j + -0.03453188644245882*k]"
60,"[-0.038700893361776914, -0.011953185515503596, 0.03374918578330465], [0.9993773166912966 + 0.0019977802280426084*i + -0.0028323085023359237*j + -0.03511361254003804*k]"
61,"[-0.03858063959305116, -0.01196279522639793, 0.03403158690832192], [0.9993556383779756 + 0.0019972650221017573*i + -0.0028947265328625707*j + -0.03572029581176833*k]"
62,"[-0.0384603858243254, -0.011972404937292264, 0.03431398803333918], [0.9993335878738174 + 0.0019967490723178617*i + -0.0029571434853038494*j + -0.03632696578015967*k]"
63,"[-0.038498269429230486, -0.012051989583462116, 0.03458092884412621], [0.9993120356638701 + 0.0020138970358439656*i + -0.0030453695333596477*j + -0.03690698200159953*k]"
64,"[-0.03853615303413557, -0.012131574229631969, 0.034847869654913245], [0.9992901387300407 + 0.002031044304653725*i + -0.0031335945308811086*j + -0.03748698549156248*k]"
65,"[-0.03857519617042511, -0.012207585681190538, 0.035109599337284775], [0.9992683893026663 + 0.002054789499158347*i + -0.0032009950672215104*j + -0.03805545442047516*k]"
66,"[-0.038614239306714655, -0.012283597132749107, 0.03537132901965631], [0.9992463113791717 + 0.0020785340181783993*i + -0.0032683945512775895*j + -0.0386239108391661*k]"
67,"[-0.03864547604630367, -0.012358260371797644, 0.035631520370952796], [0.9992243632832518 + 0.0020886586829640427*i + -0.0033570512381680905*j + -0.03917958056271685*k]"
68,"[-0.038676712785892686, -0.01243292361084618, 0.035891711722249274], [0.9992020982202965 + 0.0020987826851998374*i + -0.003445706860158037*j + -0.039735237857992274*k]"
69,"[-0.038719743072455536, -0.012513086109931508, 0.0361527327386101], [0.9991776255191679 + 0.002129623105070685*i + -0.0035028172146609883*j + -0.040339405534396716*k]"
70,"[-0.038762773359018385, -0.012593248609016838, 0.036413753754970926], [0.9991527832919599 + 0.0021604627373425548*i + -0.003559926273716284*j + -0.04094355829207001*k]"
71,"[-0.03878270044253973, -0.012658684594622813, 0.0366751066122622], [0.9991293902285949 + 0.002183615524324601*i + -0.003622087800370773*j + -0.04150390204118721*k]"
72,"[-0.03880262752606107, -0.012724120580228787, 0.03693645946955347], [0.9991056785104362 + 0.002206767614880778*i + -0.0036842481718238917*j + -0.042064232553362856*k]"
73,"[-0.03883817469410099, -0.012800354822705699, 0.03721263345373689], [0.9990806107137797 + 0.0022236072395302614*i + -0.003755702579214535*j + -0.042648371185329784*k]"
74,"[-0.038873721862140914, -0.01287658906518261, 0.03748880743792031], [0.999055196000727 + 0.0022404460920640596*i + -0.003827155682491386*j + -0.04323249500826221*k]"
75,"[-0.038907632410515786, -0.012946781320945337, 0.0377685805342283], [0.9990294295669577 + 0.002273744679118457*i + -0.0038821019705850886*j + -0.04381732794846414*k]"
76,"[-0.03894154295889065, -0.013016973576708063, 0.0380483536305363], [0.9990033166484354 + 0.0023070424775896163*i + -0.003937046912282877*j + -0.04440214569188047*k]"
77,"[-0.03923235734822747, -0.013246942025298983, 0.03832505197878726], [0.998977854646864 + 0.002246044543432833*i + -0.004078636608948439*j + -0.0449618275036727*k]"
78,"[-0.03952317173756428, -0.013476910473889901, 0.03860175032703822], [0.9989520553299966 + 0.002185045850875674*i + -0.004220224928419791*j + -0.04552149413363474*k]"
79,"[-0.03917084313057228, -0.01298739808503794, 0.03892382035513128], [0.9989223055016518 + 0.002385588014827157*i + -0.004074303153854769*j + -0.046172898922405586*k]"
80,"[-0.038818514523580275, -0.012497885696185977, 0.039245890383224354], [0.9988920694742713 + 0.002586129017656713*i + -0.00392837939623035*j + -0.04682428123773799*k]"
81,"[-0.038852307079120636, -0.012583116883242138, 0.03952670239528075], [0.9988653121644036 + 0.002620014499154214*i + -0.003998299694278414*j + -0.047383934812207824*k]"
82,"[-0.038886099634661, -0.012668348070298296, 0.03980751440733714], [0.9988382352524454 + 0.0026538991423383806*i + -0.004068218713009913*j + -0.04794357322546981*k]"
83,"[-0.03888607889700914, -0.012746105876409172, 0.04008301025084253], [0.9988091450827924 + 0.0026113546968755197*i + -0.004244289044898627*j + -0.048533066420039024*k]"
84,"[-0.03888605815935728, -0.012823863682520045, 0.04035850609434793], [0.9987796742077887 + 0.0025688092560706456*i + -0.0044203577590372885*j + -0.04912254111578076*k]"
85,"[-0.03892212372952927, -0.012904553745559894, 0.04063114411826618], [0.9987500870266168 + 0.0026395623984775953*i + -0.004501167507587243*j + -0.04970951484110944*k]"
86,"[-0.038958189299701275, -0.012985243808599741, 0.04090378214218444], [0.998720143341823 + 0.0027103145986933324*i + -0.004581975649446455*j + -0.05029647082263783*k]"
87,"[-0.03915402994866355, -0.013341094158426945, 0.04119849677007427], [0.9986936198611189 + 0.002932649389378906*i + -0.004573890260812725*j + -0.05080878609193551*k]"
88,"[-0.039349870597625826, -0.013696944508254148, 0.0414932113979641], [0.9986667841203158 + 0.00315498326311721*i + -0.0045658034420673005*j + -0.051321085474923055*k]"
89,"[-0.03937704108323603, -0.013792135652629961, 0.04176366146238335], [0.9986369111426592 + 0.0031554681493031664*i + -0.00467900963784698*j + -0.051889012257090195*k]"
90,"[-0.03940421156884623, -0.013887326797005774, 0.04203411152680259], [0.9986067023742372 + 0.0031559519744657886*i + -0.004792214260313867*j + -0.05245692159162354*k]"
91,"[-0.03943532568407947, -0.013956844790501154, 0.042323468865068874], [0.9985775838368393 + 0.0031973020293421667*i + -0.0048557739632813955*j + -0.05300007337288108*k]"
92,"[-0.03946643979931271, -0.014026362783996531, 0.04261282620333516], [0.9985481641170488 + 0.0032386511198757733*i + -0.0049193322016920955*j + -0.053543209168711796*k]"
93,"[-0.03951079323357282, -0.014078330618512557, 0.042893452994715156], [0.9985167755798788 + 0.003350368698005448*i + -0.004927327508609746*j + -0.05411788390885548*k]"
94,"[-0.039555146667832934, -0.014130298453028585, 0.04317407978609516], [0.9984850437715737 + 0.0034620851243418885*i + -0.0049353211216056235*j + -0.05469254004429678*k]"
95,"[-0.03957202289103699, -0.014247788388617181, 0.04339419157453315], [0.998451668276818 + 0.003485767391815808*i + -0.0051773140640035235*j + -0.05527486734504258*k]"
96,"[-0.039588899114241044, -0.014365278324205777, 0.04361430336297114], [0.9984178940599309 + 0.0035094482672818326*i + -0.005419304938890533*j + -0.05585717257229838*k]"
97,"[-0.039627797614260246, -0.014417957382509146, 0.04389260424978417], [0.9983860902966051 + 0.0035772214092482935*i + -0.005444734936871782*j + -0.056416070854993026*k]"
98,"[-0.039666696114279455, -0.014470636440812515, 0.04417090513659719], [0.9983539684288479 + 0.003644993411445287*i + -0.005470163200058919*j + -0.056974951162475175*k]"
99,"[-0.03970028487930905, -0.014527358518936963, 0.0444573612142042], [0.9983213758389643 + 0.003699286943852653*i + -0.0054611212045086715*j + -0.05754061152172416*k]"
100,"[-0.03973387364433865, -0.01458408059706141, 0.044743817291811205], [0.9982884597295975 + 0.003753579277456278*i + -0.0054520774392085684*j + -0.05810625323416326*k]"
101,"[-0.03977618227209507, -0.014648837064216592, 0.04510878922817431], [0.9982705267671109 + 0.003695445198658362*i + -0.005464973317493933*j + -0.05841603495220857*k]"
102,"[-0.03981849089985149, -0.014713593531371772, 0.04547376116453742], [0.9982524941451028 + 0.0036373107509360993*i + -0.005477868650199102*j + -0.05872581083845384*k]"
103,"[-0.03984175060167548, -0.014743110567354417, 0.04583976508863495], [0.9982342028648025 + 0.0035707840037603397*i + -0.005497141303935542*j + -0.05903818399947084*k]"
104,"[-0.03986501030349948, -0.014772627603337064, 0.046205769012732475], [0.9982158090570593 + 0.003504256889833619*i + -0.005516413393067162*j + -0.05935055109674646*k]"
105,"[-0.039889421020871604, -0.014791846473484638, 0.04662024316411496], [0.9981971256493107 + 0.0034166791906722264*i + -0.005511707014437446*j + -0.059669470707803436*k]"
106,"[-0.039913831738243734, -0.01481106534363221, 0.04703471731549746], [0.9981783326886375 + 0.003329101116527588*i + -0.005507000030893524*j + -0.05998838377008879*k]"
107,"[-0.0397156310697073, -0.014869087524617824, 0.04729996393154605], [0.9981611870700278 + 0.0027078651828124243*i + -0.006117956171985384*j + -0.060245188234267756*k]"
108,"[-0.03951743040117087, -0.014927109705603438, 0.04756521054759463], [0.9981432175252586 + 0.002086627013906202*i + -0.006728907263047051*j + -0.060501942969417764*k]"
109,"[-0.03882486299987398, -0.013828164275276198, 0.048031409071244896], [0.9981148678056709 + 0.0017733849514710656*i + -0.00646834023120276*j + -0.06100595336305628*k]"
110,"[-0.038132295598577094, -0.012729218844948959, 0.04849760759489515], [0.9980860980334824 + 0.0014601421427140526*i + -0.00620777047718367*j + -0.06150993808258632*k]"
111,"[-0.038174252426260505, -0.012692834787882357, 0.04893567781405442], [0.9980679838585573 + 0.0008785453063931218*i + -0.006194707061838595*j + -0.06181547831309756*k]"
112,"[-0.03821620925394392, -0.012656450730815757, 0.04937374803321369], [0.9980494384099844 + 0.0002969480904453066*i + -0.006181640969708015*j + -0.0621209918326159*k]"
113,"[-0.038175574915419466, -0.012397008708477576, 0.04974265516759289], [0.9980276458551391 + -0.0004265881208461082*i + -0.006396841621426231*j + -0.06244771051603566*k]"
114,"[-0.03813494057689501, -0.012137566686139396, 0.050111562301972085], [0.9980051775996656 + -0.0011501240433220152*i + -0.006612037942252492*j + -0.06277438692010835*k]"
115,"[-0.03810826963476923, -0.012034913597863298, 0.050536412993446], [0.9979824206526045 + -0.0019166048596734949*i + -0.006448156267695*j + -0.06313347744998235*k]"
116,"[-0.03808159869264345, -0.0119322605095872, 0.05096126368491992], [0.9979589213923147 + -0.0026830842504275776*i + -0.006284269796909039*j + -0.06349252102029623*k]"
117,"[-0.03817788266310024, -0.011977779371034065, 0.051392752590838926], [0.9979356393034173 + -0.0035432715606488665*i + -0.006235766001064057*j + -0.0638202182470968*k]"
118,"[-0.038274166633557025, -0.012023298232480932, 0.05182424149675793], [0.9979115087672895 + -0.004403455858372331*i + -0.0061872569035561365*j + -0.06414786121379754*k]"
119,"[-0.038243971203980244, -0.011900641194761577, 0.052249911000358876], [0.997885019973302 + -0.005194214700985465*i + -0.006052872202895902*j + -0.06451255524793746*k]"
120,"[-0.03821377577440346, -0.011777984157042221, 0.05267558050395982], [0.9978577557605958 + -0.005984969507370749*i + -0.005918482798777538*j + -0.06487719915180995*k]"
121,"[-0.03810319512644281, -0.011513023154168323, 0.05309742232870597], [0.9978276781583584 + -0.0067575779753318655*i + -0.005812463331494048*j + -0.06527231504264978*k]"
122,"[-0.03799261447848215, -0.011248062151294425, 0.05351926415345212], [0.997796837033148 + -0.007530181272494317*i + -0.005706439416599633*j + -0.06566738098808009*k]"
123,"[-0.03795817500399233, -0.01110877334345576, 0.053943019456663716], [0.9977665729691478 + -0.00833525488286947*i + -0.005588632997177848*j + -0.06603905339011515*k]"
124,"[-0.03792373552950251, -0.010969484535617096, 0.05436677475987531], [0.997735509616139 + -0.009140321816053993*i + -0.005470822100824233*j + -0.06641067288970694*k]"
125,"[-0.03805003506712143, -0.010997117188194398, 0.05474443071087317], [0.997704288367297 + -0.009917527682984602*i + -0.005652766461906196*j + -0.06675209247274484*k]"
126,"[-0.03817633460474034, -0.011024749840771701, 0.05512208666187103], [0.9976723141562085 + -0.01069472606520856*i + -0.005834706556874659*j + -0.06709346167832515*k]"
127,"[-0.03806151148737795, -0.010729865894128188, 0.05554675053201692], [0.9976396756643523 + -0.011486067363526144*i + -0.005781681592382436*j + -0.06745161195116804*k]"
128,"[-0.037946688370015566, -0.010434981947484675, 0.055971414402162814], [0.9976062805929078 + -0.012277399951159569*i + -0.005728652243238735*j + -0.06780971107075989*k]"
129,"[-0.03795799962564375, -0.01027726121800648, 0.056363721389399504], [0.997569990520649 + -0.013082524897522358*i + -0.00587750288367497*j + -0.06817929681941806*k]"
130,"[-0.03796931088127193, -0.010119540488528284, 0.0567560283766362], [0.9975328941192634 + -0.013887639269368092*i + -0.006026348773365078*j + -0.06854882745920826*k]"
131,"[-0.03805548638390355, -0.01010782345893745, 0.05714174155015893], [0.9974970248920386 + -0.014688478076898251*i + -0.006118467687994811*j + -0.06889483504927717*k]"
132,"[-0.03814166188653517, -0.010096106429346618, 0.05752745472368166], [0.9974603867576547 + -0.015489305562012737*i + -0.006210581886286059*j + -0.06924078953268953*k]"
133,"[-0.03804142129646901, -0.00982163953732804, 0.057956269078880476], [0.9974207472775349 + -0.016302391412830377*i + -0.006157610509002919*j + -0.06962879266055044*k]"
134,"[-0.037941180706402844, -0.00954717264530946, 0.058385083434079284], [0.9973802938698856 + -0.017115463960370333*i + -0.006104634106910816*j + -0.07001673896906871*k]"
135,"[-0.03796661513848136, -0.009402461035545082, 0.058771666919495674], [0.9973385253219779 + -0.017911102091343504*i + -0.006207253030412432*j + -0.07040261600446775*k]"
136,"[-0.03799204957055987, -0.009257749425780703, 0.059158250404912065], [0.9972959646714799 + -0.018706725997026063*i + -0.006309867024012034*j + -0.07078843712495617*k]"
137,"[-0.03799722662262427, -0.009253809476574582, 0.059498510281169675], [0.9972525120038299 + -0.01948966996092916*i + -0.006782366077321175*j + -0.07114477898804848*k]"
138,"[-0.03800240367468866, -0.00924986952736846, 0.05983877015742729], [0.9972080968635836 + -0.020272595114878892*i + -0.00725485858480425*j + -0.07150105218758837*k]"
139,"[-0.03812058590593553, -0.009347614289771697, 0.060252815620314155], [0.9971683677210886 + -0.021084260535466772*i + -0.007104384267192384*j + -0.07183472766229641*k]"
140,"[-0.038238768137182404, -0.009445359052174931, 0.06066686108320102], [0.9971278464669296 + -0.021895909207540323*i + -0.006953904306134711*j + -0.0721683460742982*k]"
141,"[-0.03822655068276942, -0.00890854527726754, 0.06106484413020659], [0.997084166421209 + -0.022426682213583342*i + -0.007092611077370496*j + -0.07259410351480945*k]"
142,"[-0.03821433322835644, -0.008371731502360147, 0.06146282717721216], [0.9970400036502542 + -0.02295744436204203*i + -0.0072313144148115635*j + -0.07301982580983674*k]"
143,"[-0.03829807595861842, -0.0083371245697271, 0.06182191320812787], [0.9969990562530427 + -0.023559776335126476*i + -0.007539580744377447*j + -0.07335511905640844*k]"
144,"[-0.03838181868888041, -0.008302517637094052, 0.06218099923904358], [0.9969575386419754 + -0.02416209483366366*i + -0.007847842761829513*j + -0.07369037034897329*k]"
145,"[-0.038576576090109824, -0.00877742902661843, 0.06248927253248354], [0.9969116948516388 + -0.024850951841676707*i + -0.008480945095253795*j + -0.07401065079356418*k]"
146,"[-0.03877133349133923, -0.009252340416142807, 0.0627975458259235], [0.9968648740641564 + -0.025539784495166536*i + -0.009114039117150393*j + -0.07433085870595897*k]"
147,"[-0.038833583936613916, -0.009314572482657976, 0.06314600703802181], [0.996821593157846 + -0.02611721925807635*i + -0.009416937007723503*j + -0.07467210704052614*k]"
148,"[-0.0388958343818886, -0.009376804549173145, 0.06349446825012012], [0.9967777704773051 + -0.026694639826233095*i + -0.00971982978017534*j + -0.07501331479067619*k]"
149,"[-0.03913853830438398, -0.009478449372565851, 0.06384172888916254], [0.996736793380203 + -0.027150563642505135*i + -0.010059483903471158*j + -0.0753486456390575*k]"
150,"[-0.03938124222687936, -0.009580094195958557, 0.06418898952820495], [0.9966953803529386 + -0.027606475584278613*i + -0.010399133627177756*j + -0.07568394353315483*k]"
151,"[-0.039481299453719934, -0.009161296293296808, 0.06451105440277646], [0.9966444380185158 + -0.02809078384417573*i + -0.010823957246582524*j + -0.07611579323176469*k]"
152,"[-0.03958135668056051, -0.008742498390635059, 0.06483311927734799], [0.9965928935923696 + -0.02857507513389992*i + -0.011248774327030342*j + -0.07654759694738665*k]"
153,"[-0.03969796016003052, -0.00811532860397198, 0.06523244267546541], [0.9965468447446634 + -0.02903640117012303*i + -0.01131227808111476*j + -0.07696301710015697*k]"
154,"[-0.03981456363950053, -0.007488158817308901, 0.06563176607358284], [0.9965004057001979 + -0.029497715837177*i + -0.01137577740588984*j + -0.0773784071181474*k]"
155,"[-0.04004901719001262, -0.007632850954810711, 0.06591984414874834], [0.9964525562913761 + -0.029855380045446536*i + -0.012080217665719591*j + -0.07774977610175327*k]"
156,"[-0.04028347074052472, -0.00777754309231252, 0.06620792222391383], [0.9964039452298401 + -0.0302130214333308*i + -0.012784648691862788*j + -0.07812108565620957*k]"
157,"[-0.04010203019336697, -0.008179489828494925, 0.06659357820144343], [0.9963686745907648 + -0.030563005303783038*i + -0.012962675274774767*j + -0.0784049491471321*k]"
158,"[-0.039920589646209224, -0.00858143656467733, 0.06697923417897304], [0.9963331688040261 + -0.030912981961223194*i + -0.013140698798434804*j + -0.07868879413412025*k]"
159,"[-0.040037324856344376, -0.008231956056974816, 0.06731904194386357], [0.9962932114530187 + -0.031024666386281482*i + -0.013469533183826923*j + -0.0790941120694846*k]"
160,"[-0.04015406006647953, -0.007882475549272301, 0.06765884970875409], [0.9962529686792672 + -0.031136341923248073*i + -0.013798363710404108*j + -0.07949940734559739*k]"
161,"[-0.04030144529677243, -0.00813907312278751, 0.06798562758075435], [0.9962160845372279 + -0.03131786167877171*i + -0.01417929638427216*j + -0.07982262839089575*k]"
162,"[-0.040448830527065334, -0.008395670696302716, 0.06831240545275462], [0.9961789175780021 + -0.0314993725434235*i + -0.014560225032759803*j + -0.08014582677523578*k]"
163,"[-0.040585102834875375, -0.00873126583647833, 0.06869184979890194], [0.9961309413796441 + -0.032133933193120426*i + -0.014734453915499558*j + -0.08045777669968326*k]"
164,"[-0.040721375142685416, -0.009066860976653941, 0.06907129414504927], [0.9960824346046987 + -0.032768476727082975*i + -0.0149086749501182*j + -0.08076968376931037*k]"
165,"[-0.040803468441178756, -0.009037468629337589, 0.06942518419651032], [0.9960378612954597 + -0.03306184251091315*i + -0.015211098644129926*j + -0.08114256536361575*k]"
166,"[-0.040885561739672095, -0.009008076282021237, 0.06977907424797138], [0.9959929706973271 + -0.03335519776285912*i + -0.015513517492630403*j + -0.08151542110987278*k]"
